[16:47:12] [main/INFO]: Setting user: Player945
[16:47:16] [Client thread/INFO]: LWJGL Version: 2.9.1
[16:47:20] [Client thread/ERROR]: Couldn't initialize twitch stream
[16:47:34] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:My Test Mod, FMLFileResourcePack:Ender IO
[16:47:39] [Sound Library Loader/INFO]: Sound engine started
[16:47:43] [Client thread/INFO]: Created: 512x512 textures/blocks-atlas
[16:47:43] [Client thread/INFO]: Created: 512x256 textures/items-atlas
[16:47:45] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:My Test Mod, FMLFileResourcePack:Ender IO
[16:47:46] [Client thread/INFO]: Created: 512x512 textures/blocks-atlas
[16:47:46] [Client thread/INFO]: Created: 512x256 textures/items-atlas
[16:47:47] [Sound Library Loader/INFO]: Sound engine started
[16:48:03] [Client thread/INFO]: Deleting level New World
[16:48:03] [Client thread/INFO]: Attempt 1...
[16:48:15] [Server thread/INFO]: Starting integrated minecraft server version 1.7.10
[16:48:15] [Server thread/INFO]: Generating keypair
[16:48:15] [Server thread/INFO]: Converting map!
[16:48:15] [Server thread/INFO]: Scanning folders...
[16:48:15] [Server thread/INFO]: Total conversion count is 0
[16:48:15] [Server thread/WARN]: Unable to find spawn biome
[16:48:16] [Server thread/INFO]: Preparing start region for level 0
[16:48:18] [Server thread/INFO]: Preparing spawn area: 3%
[16:48:19] [Server thread/INFO]: Preparing spawn area: 8%
[16:48:20] [Server thread/INFO]: Preparing spawn area: 15%
[16:48:21] [Server thread/INFO]: Preparing spawn area: 23%
[16:48:22] [Server thread/INFO]: Preparing spawn area: 32%
[16:48:23] [Server thread/INFO]: Preparing spawn area: 42%
[16:48:24] [Server thread/INFO]: Preparing spawn area: 51%
[16:48:25] [Server thread/INFO]: Preparing spawn area: 60%
[16:48:26] [Server thread/INFO]: Preparing spawn area: 68%
[16:48:27] [Server thread/INFO]: Preparing spawn area: 74%
[16:48:28] [Server thread/INFO]: Preparing spawn area: 83%
[16:48:29] [Server thread/INFO]: Preparing spawn area: 92%
[16:48:30] [Server thread/INFO]: Changing view distance to 12, from 10
[16:48:31] [Server thread/INFO]: Player945[local:E:34eeef4d] logged in with entity id 152 at (-37.5, 72.0, -21.5)
[16:48:32] [Server thread/INFO]: Player945 joined the game
[16:48:36] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2861ms behind, skipping 57 tick(s)
[16:48:45] [Client thread/INFO]: [CHAT] Version 1.0.3.74 of NotEnoughItems is available
[16:48:47] [Client thread/INFO]: Warning: Clientside chunk ticking took 102 ms
[16:49:03] [Client thread/INFO]: Warning: Clientside chunk ticking took 279 ms
[16:49:03] [Client thread/INFO]: Warning: Clientside chunk ticking took 247 ms
[16:49:03] [Client thread/INFO]: Warning: Clientside chunk ticking took 291 ms
[16:49:04] [Client thread/INFO]: Warning: Clientside chunk ticking took 242 ms
[16:49:04] [Client thread/INFO]: Warning: Clientside chunk ticking took 291 ms
[16:49:05] [Client thread/INFO]: Warning: Clientside chunk ticking took 237 ms
[16:49:05] [Client thread/INFO]: Warning: Clientside chunk ticking took 361 ms
[16:49:14] [Client thread/INFO]: Warning: Clientside chunk ticking took 292 ms
[16:49:14] [Client thread/INFO]: Warning: Clientside chunk ticking took 267 ms
[16:49:15] [Client thread/INFO]: Warning: Clientside chunk ticking took 382 ms
[16:49:15] [Client thread/INFO]: Warning: Clientside chunk ticking took 228 ms
[16:49:15] [Client thread/INFO]: Warning: Clientside chunk ticking took 193 ms
[16:49:21] [Client thread/INFO]: Warning: Clientside chunk ticking took 286 ms
[16:49:21] [Client thread/INFO]: Warning: Clientside chunk ticking took 315 ms
[16:49:22] [Client thread/INFO]: Warning: Clientside chunk ticking took 296 ms
[16:49:22] [Client thread/INFO]: Warning: Clientside chunk ticking took 342 ms
[16:49:22] [Client thread/INFO]: Warning: Clientside chunk ticking took 322 ms
[16:49:22] [Client thread/INFO]: Warning: Clientside chunk ticking took 291 ms
[16:49:23] [Client thread/INFO]: Warning: Clientside chunk ticking took 291 ms
[16:49:31] [Client thread/INFO]: Warning: Clientside chunk ticking took 130 ms
[16:49:34] [Client thread/INFO]: Warning: Clientside chunk ticking took 176 ms
[16:49:38] [Client thread/INFO]: Warning: Clientside chunk ticking took 112 ms
[16:49:45] [Client thread/INFO]: Warning: Clientside chunk ticking took 127 ms
[16:49:46] [Client thread/INFO]: Warning: Clientside chunk ticking took 129 ms
